Date,Corporation,Shareholder,Code,Shares Involved,Average Price,Total Shares,% of issued shared
22/02/2017,China Trends Holdings Ltd.,Yu Bin,103,"226,400,000(L)",HKD 0.018,"2,365,440,000(L)",5.53(L)
22/02/2017,China Trends Holdings Ltd.,Zheng Yan,103,"226,400,000(L)",HKD 0.018,"2,365,440,000(L)",5.53(L)
22/02/2017,Finet Group Ltd.,Chow Wing Chau,122,"250,000(L)", ,"500,000(L)",0.11(L)
22/02/2017,Finet Group Ltd.,Yiu Wing Hei,122,"250,000(L)", ,0(L),0.00(L)
21/02/2017,Code Agriculture (Holdings) Ltd.,Chow Kam Wah,102,"55,000,000(L)",HKD 0.800,"15,366,369(L)",1.34(L)
21/02/2017,Inno-Tech Holdings Ltd.,Chow Kam Wah,103,"2,974,000(L)",HKD 0.770,"30,856,000(L)",7.75(L)
21/02/2017,Inno-Tech Holdings Ltd.,Kitchell Osman Bin,103,"3,180,000(L)",HKD 0.770,"25,000,000(L)",6.28(L)
21/02/2017,Winto Group (Holdings) Ltd.,Chung Oi Ling Stella,103,"846,000,000(L)",HKD 0.026,"846,000,000(L)",9.79(L)
21/02/2017,Winto Group (Holdings) Ltd.,Flame Capital Limited,103,"846,000,000(L)",HKD 0.026,"846,000,000(L)",9.79(L)
21/02/2017,Winto Group (Holdings) Ltd.,Fuwin Group (Holdings) Limited,103,"846,000,000(L)",HKD 0.026,"1,692,232,000(L)",19.59(L)
21/02/2017,Winto Group (Holdings) Ltd.,Kwan Shun Keung Timmy,102,"846,000,000(L)",HKD 0.026,"1,692,232,000(L)",19.59(L)
21/02/2017,Winto Group (Holdings) Ltd.,Yip Tsz Lam,102,"846,000,000(L)",HKD 0.026,"1,692,232,000(L)",19.59(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,"Chan Sek Keung, Ringo",104, , ,"116,411,250(L)",9.23(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Ever Robust Holdings Limited,104, , ,"136,800,000(L)",10.85(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Interactive Entertainment China Cultural Technology Investments Limited,104, , ,"136,800,000(L)",10.85(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Lam Ching Yee,136,"8,000,000(L)", ,"8,000,000(L)",0.63(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Lin Ting,136,"8,000,000(L)", ,"8,000,000(L)",0.63(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Luster Wealth Limited,104, , ,"116,411,250(L)",9.23(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Ng Wing Cheong Stephen,136,"8,000,000(L)", ,"8,000,000(L)",0.63(L)
20/02/2017,Finsoft Financial Investment Holdings Ltd.,Woodstock Management Limited,103, , ,"116,411,250(L)",9.23(L)
20/02/2017,GreaterChina Professional Services Ltd.,上海海通證券資產管理有限公司,101,"10,000,000(L)",HKD 0.606,"262,395,000(L)",5.40(L)
20/02/2017,Interactive Entertainment China Cultural Technology Inv Ltd.,Cheng Hei Yu,103,"138,810,000(L)",HKD 0.107,"916,330,000(L)",17.17(L)
20/02/2017,SDM Group Holdings Ltd.,Chun Chun,121,"66,250,000(L)",HKD 0.400,"198,750,000(L)",65.46(L)
20/02/2017,SDM Group Holdings Ltd.,Wealthy Together Limited,103,"66,250,000(L)",HKD 0.400,"198,750,000(L)",65.46(L)
20/02/2017,Sunrise (China) Technology Group Ltd.,Capital VC Limited,105,"152,631,578(L)",HKD 0.140,"457,894,735(L)",18.64(L)
20/02/2017,Sunrise (China) Technology Group Ltd.,Chan Kin Kee,104, , ,"273,000,000(L)",11.11(L)
20/02/2017,Sunrise (China) Technology Group Ltd.,Ethnocentric Investment Limited,105,"152,631,578(L)",HKD 0.140,"457,894,735(L)",18.64(L)
20/02/2017,Sunrise (China) Technology Group Ltd.,Like Capital Limited,105,"152,631,578(L)",HKD 0.140,"457,894,735(L)",18.64(L)
20/02/2017,Sunrise (China) Technology Group Ltd.,Wong Ka Man,103,"68,117,157(L)",HKD 0.140,"530,667,262(L)",21.60(L)
20/02/2017,Super Strong Holdings Ltd.,Best Brian Investments Limited,103,"100,000,000(L)",HKD 0.335,"300,000,000(L)",37.50(L)
20/02/2017,Super Strong Holdings Ltd.,Ko Chun Hay Kelvin,121,"100,000,000(L)",HKD 0.335,"139,500,000(L)",17.44(L)
20/02/2017,Super Strong Holdings Ltd.,Kwok Tung Keung,123,"100,000,000(L)",HKD 0.335,"300,000,000(L)",37.50(L)
20/02/2017,Winto Group (Holdings) Ltd.,Loo Chi Yiu,103,"120,000,000(L)",HKD 0.029,"858,000,000(L)",9.93(L)
